ALPHAEVOLVE	[1]	J. Abramson, J. Adler, J. Dunger, R. Evans, T. Green, A. Pritzel, O. Ronneberger, L. Will- more, A. J. Ballard, J. Bambrick, et al. Accurate structure prediction of biomolecular interactions with alphafold 3. Nature, 630(8016):493–500, 2024.		plain-numbered
ALPHAEVOLVE	[2]	V. Aglietti, I. Ktena, J. Schrouff, E. Sgouritsa, F. J. R. Ruiz, A. Malek, A. Bellot, and S. Chiappa. FunBO: Discovering acquisition functions for Bayesian optimization with FunSearch. In International Conference on Machine Learning, 2025.		plain-numbered
ALPHAEVOLVE	[3]	AlphaProof and AlphaGeometry teams. AI achieves silver-medal standard solving International Mathematical Olympiad problems, 2024. URL https://deepmind.g oogle/discover/blog/ai-solves-imo-problems-at-silver-medal-lev el.		plain-numbered
ALPHAEVOLVE	[4]	D. Bahdanau, K. Cho, and Y. Bengio. Neural machine translation by jointly learning to align and translate. arXiv preprint arXiv:1409.0473, 2014.		plain-numbered
ALPHAEVOLVE	[5]	W. Banzhaf, P. Nordin, R. E. Keller, and F. D. Francone. Genetic Programming: An Introduction on the Automatic Evolution of computer programs and its Applications. The Morgan Kaufmann Series in Artificial Intelligence, 1998.		plain-numbered
ALPHAEVOLVE	[6]	J. Bausch, A. W. Senior, F. J. H. Heras, T. Edlich, A. Davies, M. Newman, C. Jones, K. Satzinger, M. Y. Niu, S. Blackwell, G. Holland, D. Kafri, J. Atalaya, C. Gidney, D. Hassabis, S. Boixo, H. Neven, and P. Kohli. Learning high-accuracy error decoding for quantum processors. Nature, 635(8040):834–840, 2024. doi: 10.1038/s41586-0 24-08148-8.		plain-numbered
ALPHAEVOLVE	[7]	D. A. Boiko, R. MacKnight, B. Kline, and G. Gomes. Autonomous chemical research with large language models. Nature, 624(7992):570–578, 2023. doi: 10.1038/s415 86-023-06792-0.		plain-numbered
ALPHAEVOLVE	[8]	P. Boyvalenkov, S. Dodunekov, and O. Musin. A survey on the kissing numbers. Serdica Math. J., 38(4):507–522, 2012. ISSN 1310-6600.		plain-numbered
ALPHAEVOLVE	[9]	J. Bradbury, R. Frostig, P. Hawkins, M. J. Johnson, C. Leary, D. Maclaurin, G. Necula, A. Paszke, J. VanderPlas, S. Wanderman-Milne, and Q. Zhang. JAX: composable transformations of Python+NumPy programs, 2018. URL http://github.com/j ax-ml/jax. 23AlphaEvolve: A coding agent for scientific and algorithmic discovery		plain-numbered
ALPHAEVOLVE	[10]	A.M.Bran, S.Cox, O.Schilter, C.Baldassari, A.D.White, andP.Schwaller. Augmenting large language models with chemistry tools. Nature Machine Intelligence, 6(5):525– 535, 2024. doi: 10.1038/s42256-024-00832-8.		plain-numbered
ALPHAEVOLVE	[11]	A. M. Bran, T. A. Neukomm, D. P. Armstrong, Z. Jončev, and P. Schwaller. Chemical reasoning in LLMs unlocks steerable synthesis planning and reaction mechanism elucidation. In arXiv preprint arXiv:2503.08537, 2025.		plain-numbered
ALPHAEVOLVE	[12]	M. Caldas Ramos, C. J. Collison, and A. D. White. A review of large language models and autonomous agents in chemistry. Chemical Science, 16:2514–2572, 2025. doi: 10.1039/D4SC03921A.		plain-numbered
ALPHAEVOLVE	[13]	P. S. Castro, N. Tomasev, A. Anand, N. Sharma, R. Mohanta, A. Dev, K. Perlin, S. Jain, K. Levin, N. Éltető, W. Dabney, A. Novikov, G. C. Turner, M. K. Eckstein, N. D. Daw, K. J. Miller, and K. L. Stachenfeld. Discovering symbolic cognitive models from human and animal behavior. In International Conference on Machine Learning, 2025.		plain-numbered
ALPHAEVOLVE	[14]	A. Chen, D. M. Dohan, and D. R. So. EvoPrompting: Language models for code-level neural architecture search. In Advances in Neural Information Processing Systems, 2023.		plain-numbered
ALPHAEVOLVE	[15]	T. Chen, B. Xu, and K. Devleker. Automating GPU kernel generation with DeepSeek-R1 and inference time scaling, 2025. URL https://developer.nvidia.com/blog/ automating-gpu-kernel-generation-with-deepseek-r1-and-inference -time-scaling.		plain-numbered
ALPHAEVOLVE	[16]	X. Chen, C. Liang, D. Huang, E. Real, K. Wang, H. Pham, X. Dong, T. Luong, C.-J. Hsieh, Y. Lu, and Q. V. Le. Symbolic discovery of optimization algorithms. Advances in Neural Information Processing Systems, 2023.		plain-numbered
ALPHAEVOLVE	[17]	A. Cloninger and S. Steinerberger. On suprema of autoconvolutions with an application to Sidon sets. Proceedings of the American Mathematical Society, 145(8):3191–3200, 2017.		plain-numbered
ALPHAEVOLVE	[18]	H. Cohn and F. Gonçalves. An optimal uncertainty principle in twelve dimensions via modular forms. Inventiones mathematicae, 217:799–831, 2019.		plain-numbered
ALPHAEVOLVE	[19]	K. M. Collins, A. Q. Jiang, S. Frieder, L. Wong, M. Zilka, U. Bhatt, T. Lukasiewicz, Y. Wu, J. B. Tenenbaum, W. Hart, et al. Evaluating language models for mathematics through interactions. Proceedings of the National Academy of Sciences, 121(24):e2318124121, 2024.		plain-numbered
ALPHAEVOLVE	[20]	K. D. Cooper, D. Subramanian, and L. Torczon. Adaptive optimizing compilers for the 21st century. The Journal of Supercomputing, 23:7–22, 2002.		plain-numbered
ALPHAEVOLVE	[21]	M. Cranmer. Interpretable machine learning for science with pysr and symbolicre- gression. jl. arXiv preprint arXiv:2305.01582, 2023.		plain-numbered
ALPHAEVOLVE	[22]	T. Dao, D. Fu, S. Ermon, A. Rudra, and C. Ré. Flashattention: Fast and memory- efficient exact attention with io-awareness. Advances in neural information processing systems, 35:16344–16359, 2022. 24AlphaEvolve: A coding agent for scientific and algorithmic discovery		plain-numbered
ALPHAEVOLVE	[23]	A. Davies, P. Veličković, L. Buesing, S. Blackwell, D. Zheng, N. Tomašev, R. Tanburn, P. Battaglia, C. Blundell, A. Juhász, M. Lackenby, G. Williamson, D. Hassabis, and P. Kohli. Advancing mathematics by guiding human intuition with AI. Nature, 600 (7887):70–74, 2021. doi: 10.1038/s41586-021-04086-x.		plain-numbered
ALPHAEVOLVE	[24]	J. S. Ellenberg, C. S. Fraser-Taliente, T. R. Harvey, K. Srivastava, and A. V. Sutherland. Generative modelling for mathematical discovery. arXiv preprint arXiv:2503.11061, 2025.		plain-numbered
ALPHAEVOLVE	[25]	P. Erdős. Some remarks on number theory. Riveon Lematematika, 9:45–48, 1955.		plain-numbered
ALPHAEVOLVE	[26]	A.Fawzi, M.Balog, A.Huang, T.Hubert, B.Romera-Paredes, M.Barekatain, A.Novikov, F. J. R. Ruiz, J. Schrittwieser, G. Swirszcz, D. Silver, D. Hassabis, and P. Kohli. Discov- ering faster matrix multiplication algorithms with reinforcement learning. Nature, 610(7930):47–53, 2022. doi: 10.1038/s41586-022-05172-4.		plain-numbered
ALPHAEVOLVE	[27]	C. Fernando, D. Banarse, H. Michalewski, S. Osindero, and T. Rocktäschel. Prompt- breeder: Self-referential self-improvement via prompt evolution. arXiv preprint arXiv:2309.16797, 2023.		plain-numbered
ALPHAEVOLVE	[28]	N. Ferruz and B. Höcker. Controllable protein design with language models. Nature Machine Intelligence, 4(6):521–532, 2022.		plain-numbered
ALPHAEVOLVE	[29]	E. Friedman. Erich’s Packing Center. https://erich-friedman.github.io/pa cking/, 2025. Accessed: 2025-04-22.		plain-numbered
ALPHAEVOLVE	[30]	F. Frohnert, X. Gu, M. Krenn, and E. van Nieuwenburg. Discovering emergent connec- tions in quantum physics research via dynamic word embeddings. Machine Learning: Science and Technology, 6(1):015029, 2025. doi: 10.1088/2632-2153/adb00a.		plain-numbered
ALPHAEVOLVE	[31]	M. Ganzhinov. Highly symmetric lines. In arXiv preprint arXiv:2207.08266v1, 2022.		plain-numbered
ALPHAEVOLVE	[32]	Gemini team. Gemini 2.5: Our most intelligent AI model, 2025. URL https: //blog.google/technology/google-deepmind/gemini-model-thinking-u pdates-march-2025.		plain-numbered
ALPHAEVOLVE	[33]	F. Gonçalves, D. O. e Silva, and S. Steinerberger. Hermite polynomials, linear flows on the torus, and an uncertainty principle for roots. Journal of Mathematical Analysis and Applications, 451(2):678–711, 2017.		plain-numbered
