path	kind	bytes	sha256
evidence/verified_coevolution_agenda/artifacts/godel_agent/metadata/arxiv-2410.04444v4.atom	metadata	2761	sha256:ad9859a87dd92b39e64c8d4421955f349da4173f013bf6062647bb384933e481
evidence/verified_coevolution_agenda/artifacts/godel_agent/metadata/arxiv-2410.04444v4.html	metadata	41873	sha256:5a05909c6e4ea54de8532cb06f21221f1232029ec63bd70960f9a7b4adf5b613
evidence/verified_coevolution_agenda/artifacts/godel_machine_arxiv/metadata/arxiv-cs/0309048v5.atom	metadata	3055	sha256:508de848ca4ce1562d72a930010771af70026d7a32126d2f371b2311604ffc30
evidence/verified_coevolution_agenda/artifacts/godel_machine_arxiv/metadata/arxiv-cs/0309048v5.html	metadata	43075	sha256:88bdf8d200e7656a4d93dd2900059a52a0b9f18f812b4c6de917a3df58146c45
evidence/verified_coevolution_agenda/artifacts/ladder/html/arxiv-2503.00735v3.html	html	189085	sha256:155b54887bab720868637d0369a15c9fa7278d6d2b95a25b6056bfc52dc3bdf6
evidence/verified_coevolution_agenda/artifacts/ladder/metadata/arxiv-2503.00735v3.atom	metadata	2691	sha256:f5aef01c52a2cb5a9535ba1bed0013022a0db8dc73e895e4dfc9a543a30e17ad
evidence/verified_coevolution_agenda/artifacts/ladder/metadata/arxiv-2503.00735v3.html	metadata	42288	sha256:3cf4c1d034fdb18f309dfbdc19ebdcc10b2a437815db8e30245cb40e7ccfcba9
evidence/verified_coevolution_agenda/artifacts/ladder/pdf/arxiv-2503.00735v3.pdf	pdf	399521	sha256:cf1ac2ce2cb52fbeeddb7b266d0543d57da36698fc327b44a28c435363aa6e8a
evidence/verified_coevolution_agenda/artifacts/ladder/text/arxiv-2503.00735v3.raw.txt	text	47470	sha256:b0f689d1a9af38392fb1fa5c76853609f04e5277e1758e260d21d49e82089a52
evidence/verified_coevolution_agenda/artifacts/mendel_godel_machine/metadata/arxiv-2608.07645v1.atom	metadata	2938	sha256:678f9d960dc893354145a77d8936cc4069f1ab05569d975e9b95d7b1de1e686f
evidence/verified_coevolution_agenda/artifacts/mendel_godel_machine/metadata/arxiv-2608.07645v1.html	metadata	41901	sha256:81af0e4dd77dc87ed7e119a4e33705e7c6d776df57b0d98dc3905ba372b54f52
evidence/verified_coevolution_agenda/artifacts/model_collapse/html/nature-s41586-024-07566-y.html	html	299166	sha256:f243ade2f0ba2c750467c4bc147c69cdf49dbbe26a477ee1884c4dbba6b87e3b
evidence/verified_coevolution_agenda/artifacts/model_collapse/text/nature-s41586-024-07566-y.txt	text	36738	sha256:99779c8e81020754d55e5cbcf1b89bdf50a7247afc428027f805b032ac1242c4
evidence/verified_coevolution_agenda/artifacts/nsrsa/html/arxiv-2603.21558v1.html	html	156464	sha256:a556e922b7596168c9fb25a0c2ca110d94b93f8e548fc29cdcafe373a4209218
evidence/verified_coevolution_agenda/artifacts/nsrsa/metadata/arxiv-2603.21558v1.atom	metadata	3042	sha256:842a0e2c6b5ee0272ce5c19e59b038d029e778d261728eadfd6ae741da289c4b
evidence/verified_coevolution_agenda/artifacts/nsrsa/metadata/arxiv-2603.21558v1.html	metadata	42967	sha256:39980afce7c56c580d967e210bc9d14ae1bd1321484f1c60ca1c361511d0897d
evidence/verified_coevolution_agenda/artifacts/nsrsa/pdf/arxiv-2603.21558v1.pdf	pdf	289477	sha256:a106406eeed9b3bdbe8f37c0ceb49d8497c7d8e50ea5627f9ecf304295bcb538
evidence/verified_coevolution_agenda/artifacts/nsrsa/text/arxiv-2603.21558v1.raw.txt	text	33775	sha256:4c35a00a4a32d01d4fdb843749430c7204cff5e0c7e409f42fa333b125e6194d
evidence/verified_coevolution_agenda/artifacts/prime_ttrl/html/arxiv-2504.16084v3.html	html	361407	sha256:907f4ad7d6f82cef1386b2188eed6d19527850eb173f732639a2414e66b7cdeb
evidence/verified_coevolution_agenda/artifacts/prime_ttrl/metadata/arxiv-2504.16084v3.atom	metadata	3585	sha256:3542d8f7dc204dd8da6b423146ba53d836bdfff2c0cbf4305e7cd2aac5e8f295
evidence/verified_coevolution_agenda/artifacts/prime_ttrl/metadata/arxiv-2504.16084v3.html	metadata	43838	sha256:9206b74fc0f465da738edd0b4d61a025017c04bc0a40da6270286d32c783010a
evidence/verified_coevolution_agenda/artifacts/prime_ttrl/pdf/arxiv-2504.16084v3.pdf	pdf	697629	sha256:3828cc886a0133749fe857dc12fff190f76c17dd7421dccfca01c96ec1dd5882
evidence/verified_coevolution_agenda/artifacts/prime_ttrl/text/arxiv-2504.16084v3.raw.txt	text	64068	sha256:3070b8ee55df051797c6c9c38b26707231cca47149c22567e6aa58d6312db2f3
evidence/verified_coevolution_agenda/artifacts/sahoo/html/arxiv-2603.06333v1.html	html	256403	sha256:de12f82e4e2665cbf026a1335982725324a93d1bf4d4338e856dd191da28ac81
evidence/verified_coevolution_agenda/artifacts/sahoo/metadata/arxiv-2603.06333v1.atom	metadata	3166	sha256:894862888d8c7773feb0361c6c2cabfc9ccff3bfc16ecab98bc158a444d765ca
evidence/verified_coevolution_agenda/artifacts/sahoo/metadata/arxiv-2603.06333v1.html	metadata	42516	sha256:1891e8fbf28ff191856132130f0b6d82fc09841ce6f203f5f492eb413a0dec02
evidence/verified_coevolution_agenda/artifacts/sahoo/pdf/arxiv-2603.06333v1.pdf	pdf	3472595	sha256:417b510adffecb37fdeec9b84d0b969234fc6d7fff0efce438850921b6f95e2c
evidence/verified_coevolution_agenda/artifacts/sahoo/text/arxiv-2603.06333v1.raw.txt	text	60391	sha256:9e4df84a8c5cd6239977ffa5c658523eb718bad25d087dc0683f01a88ceff670
evidence/verified_coevolution_agenda/artifacts/scrivens_verification/html/arxiv-2603.28650v1.html	html	523968	sha256:8d036761e331000750073c455777beee6df9b5abad351236e4c2f0e0d6d8b61a
evidence/verified_coevolution_agenda/artifacts/scrivens_verification/metadata/arxiv-2603.28650v1.atom	metadata	3200	sha256:d4e0bcbd360042fb47affc9d95c3e2d3337430b3b03bdac6833bccfd8b7b5f1b
evidence/verified_coevolution_agenda/artifacts/scrivens_verification/metadata/arxiv-2603.28650v1.html	metadata	44949	sha256:dec227f515c9bcbea0cba48e373ab9b3095c34eba6f1a4fd51dba2375a03c7e0
evidence/verified_coevolution_agenda/artifacts/scrivens_verification/pdf/arxiv-2603.28650v1.pdf	pdf	884048	sha256:312678e08dcf4bfeaab87858741c1ccf0ab6613b87905b0e1687f4c6a5ad7c12
evidence/verified_coevolution_agenda/artifacts/scrivens_verification/text/arxiv-2603.28650v1.raw.txt	text	69975	sha256:95d297517208b96f0eb4c5b10c628dbe2b2b2c33296953ab74a5c3707ad751cf
evidence/verified_coevolution_agenda/artifacts/supplied_research_agenda.txt	supplied-input	23323	sha256:14bd9740223a7d23f23885369a5c956d1476d942e3e10815ac513c209c71d386
