source_id	url	local_path	observed_at	bytes	status	sha256	rights	claim_ceiling	note
LADDER	https://export.arxiv.org/api/query?id_list=2503.00735v3	evidence/verified_coevolution_agenda/artifacts/ladder/metadata/arxiv-2503.00735v3.atom	2026-08-14T00:00:00Z	2691	fetched-arxiv	sha256:f5aef01c52a2cb5a9535ba1bed0013022a0db8dc73e895e4dfc9a543a30e17ad	arXiv record; full text captured only for CC-BY work per arXiv license metadata	arXiv metadata identity, authors, abstract, categories, version, and license link	Atom metadata record
LADDER	https://arxiv.org/abs/2503.00735v3	evidence/verified_coevolution_agenda/artifacts/ladder/metadata/arxiv-2503.00735v3.html	2026-08-14T00:00:00Z	42288	fetched-arxiv	sha256:3cf4c1d034fdb18f309dfbdc19ebdcc10b2a437815db8e30245cb40e7ccfcba9	arXiv abstract page	Abstract page identity, version metadata, and license/status fields	Abstract page
LADDER	https://arxiv.org/html/2503.00735v3	evidence/verified_coevolution_agenda/artifacts/ladder/html/arxiv-2503.00735v3.html	2026-08-14T00:00:00Z	189085	fetched-arxiv-semantic-html	sha256:155b54887bab720868637d0369a15c9fa7278d6d2b95a25b6056bfc52dc3bdf6	arXiv semantic HTML for CC-BY full-text work	Paper text, method, reported results, and limitations; no independent reproduction	Semantic HTML
LADDER	https://arxiv.org/pdf/2503.00735v3	evidence/verified_coevolution_agenda/artifacts/ladder/pdf/arxiv-2503.00735v3.pdf	2026-08-14T00:00:00Z	399521	fetched-arxiv-pdf	sha256:cf1ac2ce2cb52fbeeddb7b266d0543d57da36698fc327b44a28c435363aa6e8a	arXiv PDF for CC-BY full-text work	Paper text, figures, tables, and appendices; no independent reproduction	PDF
LADDER	generated-from:evidence/verified_coevolution_agenda/artifacts/ladder/pdf/arxiv-2503.00735v3.pdf	evidence/verified_coevolution_agenda/artifacts/ladder/text/arxiv-2503.00735v3.raw.txt	2026-08-14T00:00:00Z	47470	generated-pdftotext-raw	sha256:b0f689d1a9af38392fb1fa5c76853609f04e5277e1758e260d21d49e82089a52	Derived text from captured CC-BY arXiv PDF	Deterministic reading text for local inspection; PDF remains authority	pdftotext -raw output
PRIME-TTRL	https://export.arxiv.org/api/query?id_list=2504.16084v3	evidence/verified_coevolution_agenda/artifacts/prime_ttrl/metadata/arxiv-2504.16084v3.atom	2026-08-14T00:00:00Z	3585	fetched-arxiv	sha256:3542d8f7dc204dd8da6b423146ba53d836bdfff2c0cbf4305e7cd2aac5e8f295	arXiv record; full text captured only for CC-BY work per arXiv license metadata	arXiv metadata identity, authors, abstract, categories, version, and license link	Atom metadata record
PRIME-TTRL	https://arxiv.org/abs/2504.16084v3	evidence/verified_coevolution_agenda/artifacts/prime_ttrl/metadata/arxiv-2504.16084v3.html	2026-08-14T00:00:00Z	43838	fetched-arxiv	sha256:9206b74fc0f465da738edd0b4d61a025017c04bc0a40da6270286d32c783010a	arXiv abstract page	Abstract page identity, version metadata, and license/status fields	Abstract page
PRIME-TTRL	https://arxiv.org/html/2504.16084v3	evidence/verified_coevolution_agenda/artifacts/prime_ttrl/html/arxiv-2504.16084v3.html	2026-08-14T00:00:00Z	361407	fetched-arxiv-semantic-html	sha256:907f4ad7d6f82cef1386b2188eed6d19527850eb173f732639a2414e66b7cdeb	arXiv semantic HTML for CC-BY full-text work	Paper text, method, reported results, and limitations; no independent reproduction	Semantic HTML
PRIME-TTRL	https://arxiv.org/pdf/2504.16084v3	evidence/verified_coevolution_agenda/artifacts/prime_ttrl/pdf/arxiv-2504.16084v3.pdf	2026-08-14T00:00:00Z	697629	fetched-arxiv-pdf	sha256:3828cc886a0133749fe857dc12fff190f76c17dd7421dccfca01c96ec1dd5882	arXiv PDF for CC-BY full-text work	Paper text, figures, tables, and appendices; no independent reproduction	PDF
PRIME-TTRL	generated-from:evidence/verified_coevolution_agenda/artifacts/prime_ttrl/pdf/arxiv-2504.16084v3.pdf	evidence/verified_coevolution_agenda/artifacts/prime_ttrl/text/arxiv-2504.16084v3.raw.txt	2026-08-14T00:00:00Z	64068	generated-pdftotext-raw	sha256:3070b8ee55df051797c6c9c38b26707231cca47149c22567e6aa58d6312db2f3	Derived text from captured CC-BY arXiv PDF	Deterministic reading text for local inspection; PDF remains authority	pdftotext -raw output
NSRSA	https://export.arxiv.org/api/query?id_list=2603.21558v1	evidence/verified_coevolution_agenda/artifacts/nsrsa/metadata/arxiv-2603.21558v1.atom	2026-08-14T00:00:00Z	3042	fetched-arxiv	sha256:842a0e2c6b5ee0272ce5c19e59b038d029e778d261728eadfd6ae741da289c4b	arXiv record; full text captured only for CC-BY work per arXiv license metadata	arXiv metadata identity, authors, abstract, categories, version, and license link	Atom metadata record
NSRSA	https://arxiv.org/abs/2603.21558v1	evidence/verified_coevolution_agenda/artifacts/nsrsa/metadata/arxiv-2603.21558v1.html	2026-08-14T00:00:00Z	42967	fetched-arxiv	sha256:39980afce7c56c580d967e210bc9d14ae1bd1321484f1c60ca1c361511d0897d	arXiv abstract page	Abstract page identity, version metadata, and license/status fields	Abstract page
NSRSA	https://arxiv.org/html/2603.21558v1	evidence/verified_coevolution_agenda/artifacts/nsrsa/html/arxiv-2603.21558v1.html	2026-08-14T00:00:00Z	156464	fetched-arxiv-semantic-html	sha256:a556e922b7596168c9fb25a0c2ca110d94b93f8e548fc29cdcafe373a4209218	arXiv semantic HTML for CC-BY full-text work	Paper text, method, reported results, and limitations; no independent reproduction	Semantic HTML
NSRSA	https://arxiv.org/pdf/2603.21558v1	evidence/verified_coevolution_agenda/artifacts/nsrsa/pdf/arxiv-2603.21558v1.pdf	2026-08-14T00:00:00Z	289477	fetched-arxiv-pdf	sha256:a106406eeed9b3bdbe8f37c0ceb49d8497c7d8e50ea5627f9ecf304295bcb538	arXiv PDF for CC-BY full-text work	Paper text, figures, tables, and appendices; no independent reproduction	PDF
